year,month_idx,temp_anomaly,temp_absolute,month
1750,1,0.382,3.0020000000000002,Jan
1750,2,0.539,3.769,Feb
1750,3,0.574,5.904,Mar
1750,4,0.382,8.741999999999999,Apr
1750,5,,,May
1750,6,,,Jun
1750,7,,,Jul
1750,8,,,Aug
1750,9,,,Sep
1750,10,,,Oct
1750,11,,,Nov
1750,12,,,Dec
1751,1,,,Jan
1751,2,,,Feb
1751,3,,,Mar
1751,4,,,Apr
1751,5,,,May
1751,6,,,Jun
1751,7,,,Jul
1751,8,,,Aug
1751,9,-1.716,10.404,Sep
1751,10,,,Oct
1751,11,,,Nov
1751,12,,,Dec
1752,1,-2.6319999999999997,-0.011999999999999567,Jan
1752,2,,,Feb
1752,3,0.8290000000000001,6.159,Mar
1752,4,-0.7829999999999999,7.577,Apr
1752,5,,,May
1752,6,,,Jun
1752,7,,,Jul
1752,8,,,Aug
1752,9,,,Sep
1752,10,-1.2890000000000001,7.971,Oct
1752,11,0.742,6.862,Nov
1752,12,0.32299999999999995,3.993,Dec
1753,1,-1.1079999999999999,1.5120000000000002,Jan
1753,2,-1.652,1.578,Feb
1753,3,1.02,6.35,Mar
1753,4,-0.557,7.802999999999999,Apr
1753,5,0.39899999999999997,11.768999999999998,May
1753,6,1.043,14.572999999999999,Jun
1753,7,0.7240000000000001,15.134,Jul
1753,8,-0.3,13.629999999999999,Aug
1753,9,0.5720000000000001,12.692,Sep
1753,10,-0.302,8.958,Oct
1753,11,-1.17,4.95,Nov
1753,12,-3.5839999999999996,0.0860000000000003,Dec
1754,1,-1.24,1.3800000000000001,Jan
1754,2,-3.554,-0.32399999999999984,Feb
1754,3,-1.078,4.252,Mar
1754,4,2.7939999999999996,11.154,Apr
1754,5,0.501,11.870999999999999,May
1754,6,0.8270000000000001,14.357,Jun
1754,7,0.16,14.57,Jul
1754,8,-0.755,13.174999999999999,Aug
1754,9,-1.3090000000000002,10.811,Sep
1754,10,0.491,9.751,Oct
1754,11,-0.0,6.12,Nov
1754,12,0.11199999999999999,3.782,Dec
1755,1,-1.837,0.7830000000000001,Jan
1755,2,-2.499,0.7309999999999999,Feb
1755,3,-1.058,4.272,Mar
1755,4,0.583,8.943,Apr
1755,5,1.0190000000000001,12.389,May
1755,6,1.676,15.206,Jun
1755,7,0.022000000000000002,14.432,Jul
1755,8,-1.2309999999999999,12.699,Aug
1755,9,-0.877,11.242999999999999,Sep
1755,10,0.596,9.856,Oct
1755,11,-0.47200000000000003,5.648,Nov
1755,12,-2.136,1.5339999999999998,Dec
1756,1,0.9790000000000001,3.599,Jan
1756,2,2.9410000000000003,6.171,Feb
1756,3,-0.46399999999999997,4.866,Mar
1756,4,1.371,9.731,Apr
1756,5,2.24,13.61,May
1756,6,1.122,14.652,Jun
1756,7,-0.555,13.855,Jul
1756,8,-1.264,12.666,Aug
1756,9,-0.040999999999999995,12.078999999999999,Sep
1756,10,-1.8159999999999998,7.444,Oct
1756,11,-2.237,3.883,Nov
1756,12,-2.83,0.8399999999999999,Dec
1757,1,-2.987,-0.367,Jan
1757,2,1.0,4.23,Feb
1757,3,-0.22,5.11,Mar
1757,4,-0.19399999999999998,8.165999999999999,Apr
1757,5,1.183,12.552999999999999,May
1757,6,3.47,17.0,Jun
1757,7,3.083,17.493000000000002,Jul
1757,8,2.591,16.521,Aug
1757,9,1.27,13.389999999999999,Sep
1757,10,-3.352,5.9079999999999995,Oct
1757,11,-2.227,3.8930000000000002,Nov
1757,12,-3.468,0.20199999999999996,Dec
1758,1,-4.666,-2.0460000000000003,Jan
1758,2,-1.825,1.405,Feb
1758,3,-0.93,4.4,Mar
1758,4,-1.3419999999999999,7.018,Apr
1758,5,-1.8330000000000002,9.536999999999999,May
1758,6,-0.258,13.271999999999998,Jun
1758,7,-0.907,13.503,Jul
1758,8,-2.735,11.195,Aug
1758,9,-2.501,9.619,Sep
1758,10,-6.885,2.375,Oct
1758,11,-0.405,5.715,Nov
1758,12,-1.4069999999999998,2.263,Dec
1759,1,1.6880000000000002,4.308,Jan
1759,2,1.047,4.277,Feb
1759,3,-0.49200000000000005,4.838,Mar
1759,4,-2.241,6.119,Apr
1759,5,-1.4069999999999998,9.963,May
1759,6,-0.262,13.267999999999999,Jun
1759,7,-1.776,12.634,Jul
1759,8,0.006,13.936,Aug
1759,9,-0.092,12.027999999999999,Sep
1759,10,-1.1340000000000001,8.126,Oct
1759,11,-2.4459999999999997,3.6740000000000004,Nov
1759,12,-4.364,-0.694,Dec
1760,1,-3.5869999999999997,-0.9669999999999996,Jan
1760,2,-0.7440000000000001,2.4859999999999998,Feb
1760,3,-2.8689999999999998,2.4610000000000003,Mar
1760,4,-0.863,7.497,Apr
1760,5,-1.1320000000000001,10.238,May
1760,6,-1.837,11.693,Jun
1760,7,-1.306,13.104,Jul
1760,8,-0.222,13.708,Aug
1760,9,-0.7559999999999999,11.363999999999999,Sep
1760,10,-2.234,7.026,Oct
1760,11,-1.449,4.671,Nov
1760,12,-2.0380000000000003,1.6319999999999997,Dec
1761,1,-2.822,-0.20199999999999996,Jan
1761,2,-0.284,2.946,Feb
1761,3,0.968,6.298,Mar
1761,4,-1.59,6.77,Apr
1761,5,1.685,13.055,May
1761,6,3.4210000000000003,16.951,Jun
1761,7,4.735,19.145,Jul
1761,8,0.951,14.881,Aug
1761,9,-0.20800000000000002,11.911999999999999,Sep
1761,10,-1.551,7.709,Oct
1761,11,-1.841,4.279,Nov
1761,12,-5.124,-1.4539999999999997,Dec
1762,1,3.24,5.86,Jan
1762,2,1.14,4.37,Feb
1762,3,-1.5330000000000001,3.7969999999999997,Mar
1762,4,0.489,8.849,Apr
1762,5,-0.745,10.625,May
1762,6,0.518,14.048,Jun
1762,7,0.532,14.942,Jul
1762,8,-0.6509999999999999,13.279,Aug
1762,9,-1.891,10.229,Sep
1762,10,-3.0839999999999996,6.176,Oct
1762,11,-0.059000000000000004,6.061,Nov
1762,12,-1.499,2.171,Dec
1763,1,-1.857,0.7630000000000001,Jan
1763,2,-2.073,1.157,Feb
1763,3,-3.298,2.032,Mar
1763,4,-0.856,7.504,Apr
1763,5,-0.948,10.421999999999999,May
1763,6,-1.12,12.41,Jun
1763,7,2.129,16.539,Jul
1763,8,-0.235,13.695,Aug
1763,9,-1.219,10.901,Sep
1763,10,-3.514,5.746,Oct
1763,11,-2.1519999999999997,3.9680000000000004,Nov
1763,12,-0.601,3.069,Dec
1764,1,-0.893,1.727,Jan
1764,2,2.345,5.575,Feb
1764,3,0.067,5.397,Mar
1764,4,-0.977,7.382999999999999,Apr
1764,5,-0.8240000000000001,10.546,May
1764,6,-1.6880000000000002,11.841999999999999,Jun
1764,7,-1.767,12.643,Jul
1764,8,-1.238,12.692,Aug
1764,9,-1.068,11.052,Sep
1764,10,0.7190000000000001,9.979,Oct
1764,11,0.149,6.269,Nov
1764,12,2.126,5.795999999999999,Dec
1765,1,1.053,3.673,Jan
1765,2,0.031,3.261,Feb
1765,3,1.169,6.4990000000000006,Mar
1765,4,0.777,9.136999999999999,Apr
1765,5,-0.345,11.024999999999999,May
1765,6,-2.263,11.267,Jun
1765,7,-0.8170000000000001,13.593,Jul
1765,8,-0.654,13.276,Aug
1765,9,-0.813,11.306999999999999,Sep
1765,10,-1.244,8.016,Oct
1765,11,0.198,6.3180000000000005,Nov
1765,12,-0.631,3.0389999999999997,Dec
1766,1,-3.228,-0.6080000000000001,Jan
1766,2,0.853,4.083,Feb
1766,3,0.332,5.662,Mar
1766,4,0.021,8.381,Apr
1766,5,0.033,11.402999999999999,May
1766,6,0.46299999999999997,13.992999999999999,Jun
1766,7,-0.8140000000000001,13.596,Jul
1766,8,0.175,14.105,Aug
1766,9,0.495,12.614999999999998,Sep
1766,10,-0.748,8.512,Oct
1766,11,1.885,8.005,Nov
1766,12,-0.9009999999999999,2.769,Dec
1767,1,-2.971,-0.351,Jan
1767,2,-0.353,2.877,Feb
1767,3,1.0659999999999998,6.396,Mar
1767,4,-1.739,6.6209999999999996,Apr
1767,5,-0.9129999999999999,10.456999999999999,May
1767,6,0.848,14.378,Jun
1767,7,-0.8170000000000001,13.593,Jul
1767,8,1.01,14.94,Aug
1767,9,-0.11900000000000001,12.001,Sep
